S.N.,Product Code,Products
1,01011000,Horses
2,01012100,Pure-bred breeding Horses
3,01012900,Horses
4,01013000,Asses
5,01019000,"Asses, mules and hinnies"
6,01021000,Live bovine animals
7,01022100,Pure-bred breeding Cattle
8,01022900,Cattle
9,01023100,Pure-bred breeding Buffalo
10,01023900,Buffalo
11,01029000,Live bovine animals
12,01031000,Live swine
13,01039100,Live swine  weighing less than 50 kg
14,01039200,Live swine weighing 50 kg or more
15,01041000,Sheep
16,01042000,Goats
17,01051100,"Fowls of the species Gallus domesticus, weighing not more than 185 g"
18,01051200,"Turkeys, weighing not more than 185 g"
19,01051300,Ducks
20,01051900,Live poultry weighing not more than 185g
21,01059400,Fowls of the species Galus domesticus
22,01059900,Live poultry
23,01060000,Live animals
24,01061100,Primates
25,01061300,Camels and other camelids
26,01061400,Rabbits and hares
27,01061900,Mammals
28,01062000,Reptiles
29,01063100,Birds or prey
30,01063900,Birds
31,01064100,Bees
32,01069000,Live animals
33,02011000,"Meat of bovine animals, carcasses and half-carcasses, fresh or chilled"
34,02012000,"Meats of bovine animals, fresh or chilled, cuts with bone in"
35,02013000,"Meat of bovine animal, boneless"
36,02021000,"Meats of bovine animals, caracasses and half-caracasses, frozen"
37,02022000,"Meat of bovine amimals, frozen, other cuts with bone in"
38,02023000,"Meat of bovine animals, frozen, boneless"
39,02031100,"Carcasses and half-carcasses of swine, fresh or chilled"
40,02031200,"Fresh or chilled hams, shoulders and cuts thereof, with bone in"
41,02031900,Fresh or chilled meat of swine
42,02032100,Frozen meat of swine carcasses and half-carcasses
43,02032200,"Frozen Hams, shoulders and cuts thereof, with bone in"
44,02032900,Frozen meat of swine
45,02041000,"Carcasses and half-carcasses of lambs, fresh or chilled"
46,02042100,"Meat of sheep, fresh or chilled , carcasses and half-carcasses"
47,02042200,"Meat of sheep, fresh or chilled, cuts with bone in"
48,02042300,"Meat of sheep, fresh or chilled, boneless"
49,02043000,"Carcassess and half-carcassess of lamb, frozen"
50,02044100,"Meat of sheep caracasses and half-caracasses,  frozen"
51,02044200,"Meat of sheep, cuts with bone in, frozen"
52,02044300,"Meat of sheep caracasses and half-caracasses, boneless, frozen"
53,02045000,Meat of goats
54,02050000,"Meat of horses,asses, mules or hinnies, resh, chilled or frozen"
55,02061000,"Edible offal of bovine animals, fresh or chilled"
56,02062200,"Livers of bovine animals, frozen"
57,02062900,Edible offal of bovine animals
58,02063000,"Edible offal of swine, fresh or chilled"
59,02064100,"Edible livers of swine, frozen"
60,02064900,"Edible offal of swine, frozen"
61,02068000,Edible offal of  swine fresh or chilled
62,02069000,"Edible offal of bovine animal, frozen"
63,02071100,"Fowls of the species Gallus domesticus not cut in pieces, fresh or chilled"
64,02071200,"Meat, and edible offal not cut in pieces,frozen"
65,02071300,"Cuts and offal of fowls of the species Gallus domesticus, fresh or chilled"
66,02071400,"Cuts and offal, frozen, of fowls of the species Gallus domesticus"
67,02072400,"Meat of turkey, not cut in pieces, fresh or chilled"
68,02072500,"Meat of turkey Not cut in pieces, frozen"
69,02072700,"Cuts and offal of turkeys, frozen"
70,02073200,"Ducks, geese or guinea fowlsNot cut in pieces, fresh or chilled"
71,02073300,"Meats of ducks, geese or guinea fowls,not cut in pieces, frozen"
72,02073400,"Fatty livers, fresh or chilled"
73,02073600,"Ducks, geese or guinea fowls  frozen"
74,02074100,"Ducks Not cut in pieces, fresh or chilled"
75,02074200,"Ducks cut in pieces, frozen"
76,02074400,"Meat and Edible Offal of ducks, fresh or chilled"
77,02074500,"Ducks, fresh or chilled"
78,02075500,"geese, frozen"
79,02083000,Meat of primates
80,02085000,Meat of reptiles(snakes and turtles)
81,02089000,"Edible meat offal, fresh or chilled"
82,02090000,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in  brine, dried or smoked"
83,02091000,"Pig fat, free of lean meat"
84,02101100,"Hams, shoulders and cuts of swine with bone in"
85,02101200,Bellies (streaky) and cuts thereof
86,02101900,Meat of swine
87,02102000,Meat
88,02109200,"Meat and edible meat offal, salted, in brine, dried or smoked of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses"
89,02109900,Edible flours and meals of meatand  meat offal :
90,03011000,Ornamental fish
91,03011100,"Ornamental fish, Freshwater"
92,03011900,Ornamental fish
93,03019100,"Trout (Salmo trutta, oncorhynchus  mykiss, oncorhynchus clarki, oncorhynchus aquabonita, ncorhynchus gilae, Oncorhynchus appache and Oncorhynchus chrysoqaster"
94,03019200,Eels (Anguilla spp.)
95,03019400,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)"
96,03019900,Live fish
97,03021100,"Trout, Salmo trutta, oncorhynchus  mykiss, oncorhynchus clarki,  oncorhynchus aquabonita, ncorhynchus gilae, Oncorhynchus appache and Oncorhynchus chrysoqaster"
98,03021200,Pacific salmon
99,03021300,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masouand Oncorhynchus rhodurus)"
100,03021400,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)
101,03021900,"Salmonidae, excluding livers and roes"
102,03022200,Plaice (Pleuronectes platessa)
103,03022300,Sole
104,03022900,Flat fish
105,03023200,Yellowfin tunas
106,03023300,Skipjack or stripe-bellied bonito
107,03023900,Tunas
108,03025100,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
109,03025900,"Gadidae, Macrouridae,Melanonidae, Merlucciidae  , Moridae and Muraenolepididae, excluding livers and roes"
110,03026600,Eels (Anguilla spp.)
111,03026900,Other fish
112,03027000,"Fish livers and roes, fresh or chilled"
113,03027100,Tilapias (Oreochromis spp.)
114,03027200,"Catfish (Pangasius spp., Silurus spp., Clarias  spp., Ictalurus spp.)"
115,03027900,"Nile perch (Lates niloticus) and snakeheads (Channa spp.),"
116,03028900,"Fish, excluding livers and roes"
117,03029000,Livers and roes
118,03031100,Sockeye salmon (red salmon) (Oncorhynchus  nerka)
119,03031200,"Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus ischawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"
120,03031300,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)
