iso2c,country,year,NY.GDP.PCAP.CD,NY.GDP.MKTP.CD
CA,Canada,1960,,
CA,Canada,1961,2274.42327266105,41555987614.79
CA,Canada,1962,2303.00268576073,42868091992.7502
CA,Canada,1963,2410.5226244723,45713151050.4928
CA,Canada,1964,2593.87544835186,50126643039.3997
CA,Canada,1965,2812.39173406268,55342244542.8855
CA,Canada,1966,3093.33464251236,62015172913.0879
CA,Canada,1967,3265.96771265618,66664932950.7379
CA,Canada,1968,3515.21213686272,72919560567.0802
CA,Canada,1969,3821.05736369231,80349194243.7218
CA,Canada,1970,4121.93280924889,87896095224.4234
CA,Canada,1971,4520.16286459833,99271961477.5203
CA,Canada,1972,5089.58792478217,113082820992.019
CA,Canada,1973,5838.66091212262,131321859214.079
CA,Canada,1974,7033.01103435653,160408697648.262
CA,Canada,1975,7511.21134703936,173834029787.652
CA,Canada,1976,8809.26463882445,206575564401.623
CA,Canada,1977,8919.0574570796,211612156934.65
CA,Canada,1978,9123.69132998671,218632867449.812
CA,Canada,1979,10043.66094103,243072102185.419
CA,Canada,1980,11170.5639653618,273853826377.01
CA,Canada,1981,12337.4662493804,306214863624.99
CA,Canada,1982,12481.8747874298,313506525087.136
CA,Canada,1983,13425.1224888294,340547711781.889
CA,Canada,1984,13877.9170763469,355372558103.621
CA,Canada,1985,14114.8077599664,364756499450.751
CA,Canada,1986,14461.0692388787,377437927311.983
CA,Canada,1987,16308.9669663579,431316742081.448
CA,Canada,1988,18936.9641024997,507354351182.254
CA,Canada,1989,20715.631483174,565055743243.243
CA,Canada,1990,21448.3619600057,593929550908.468
CA,Canada,1991,21768.3432941828,610328183643.188
CA,Canada,1992,20879.8483300891,592387689252.916
CA,Canada,1993,20121.1612532855,577170761956.438
CA,Canada,1994,19935.3814579208,578139279437.61
CA,Canada,1995,20613.7878829216,604031623433.401
CA,Canada,1996,21227.3475315896,628546387972.131
CA,Canada,1997,21829.2334443229,652823920265.781
CA,Canada,1998,20952.0694643937,631813279406.808
CA,Canada,1999,22238.6645356943,676084000807.7
CA,Canada,2000,24190.2496150045,742295468318.632
CA,Canada,2001,23738.180723841,736379777892.562
CA,Canada,2002,24169.2847344718,757950678646.53
CA,Canada,2003,28200.6580773382,892382413817.715
CA,Canada,2004,32034.3077408421,1023196771714.07
CA,Canada,2005,36266.1871235853,1169357979864.66
CA,Canada,2006,40385.869955477,1315415197461.21
CA,Canada,2007,44543.0410359004,1464977190205.75
CA,Canada,2008,46594.4509535289,1549131208997.19
CA,Canada,2009,40773.061528975,1371153004986.44
CA,Canada,2010,47450.3184700703,1613542812589.39
CA,Canada,2011,52101.7960864825,1789140665202.84
CA,Canada,2012,52542.3466648232,1823966686523.63
CA,Canada,2013,52504.655704109,1842018420853.1
CA,Canada,2014,50835.5111782446,1801480123070.82
CA,Canada,2015,43495.0543869902,1552899925233.71
CA,Canada,2016,42279.9008231637,1526705529135.32
CA,Canada,2017,45069.9272544324,1646867220617.47
CA,Canada,2018,46210.5476227883,1712510030034.05
CN,China,1960,89.5205415103584,59716467625.3148
CN,China,1961,75.8058379259965,50056868957.6732
CN,China,1962,70.9094116671007,47209359005.6056
CN,China,1963,74.3136434486145,50706799902.5103
CN,China,1964,85.4985551596313,59708343488.5043
CN,China,1965,98.4867777522206,70436266146.7219
CN,China,1966,104.324566181147,76720285969.6157
CN,China,1967,96.5895319417819,72881631326.6715
CN,China,1968,91.4727183066072,70846535055.6503
CN,China,1969,100.12990326618,79705906247.4612
CN,China,1970,113.162991554686,92602973434.0726
CN,China,1971,118.654577785346,99800958648.1436
CN,China,1972,131.883561243868,113687586299.051
CN,China,1973,157.090374298657,138544284708.957
CN,China,1974,160.140093727686,144182133387.722
CN,China,1975,178.341819608096,163431551779.761
CN,China,1976,165.40554037242,153940455341.506
CN,China,1977,185.422832913673,174938098826.569
CN,China,1978,156.396388520044,149540752829.268
CN,China,1979,183.983152215978,178280594413.043
CN,China,1980,194.804722186836,191149211575
CN,China,1981,197.071474499102,195866382432.54
CN,China,1982,203.334919503464,205089699858.779
CN,China,1983,225.431928890812,230686747153.257
CN,China,1984,250.713969046988,259946510957.143
CN,China,1985,294.45884850496,309488028132.653
CN,China,1986,281.928120911563,300758100107.246
CN,China,1987,251.811956961329,272972974764.574
CN,China,1988,283.537695240524,312353631207.819
CN,China,1989,310.8819124049,347768051311.741
CN,China,1990,317.884673040928,360857912565.966
CN,China,1991,333.142145400184,383373318083.624
CN,China,1992,366.460692302073,426915712711.146
CN,China,1993,377.389839479958,444731282436.762
CN,China,1994,473.492278718042,564324670005.917
CN,China,1995,609.656679202484,734547898220.508
CN,China,1996,709.413755085039,863746717503.789
CN,China,1997,781.744164341053,961603952951.82
CN,China,1998,828.580479295681,1029043097554.08
