Districts,Nepali,Headquarters,Area (km2.),Population (2011)[7],Official Website
Sindhuli District,सिन्धुली जिल्ला,Kamalamai,"2,491","296,192",[25]
Ramechhap District,रामेछाप जिल्ला,Manthali,"1,546","202,646",[26]
Dolakha District,दोलखा जिल्ला,Bhimeshwar,"2,191","186,557",[27]
Bhaktapur District,भक्तपुर जिल्ला,Bhaktapur,119,"304,651",[28]
Dhading District,धादिङ जिल्ला,Nilkantha,"1,926","336,067",[29]
Kathmandu District,काठमाडौँ जिल्ला,Kathmandu,395,"1,744,240",[30]
Kavrepalanchok District,काभ्रेपलान्चोक जिल्ला,Dhulikhel,"1,396","381,937",[31]
Lalitpur District,ललितपुर जिल्ला,Lalitpur,385,"468,132",[32]
Nuwakot District,नुवाकोट जिल्ला,Bidur,"1,121","277,471",[33]
Rasuwa District,रसुवा जिल्ला,Dhunche,"1,544","43,300",[34]
Sindhupalchok District,सिन्धुपाल्चोक जिल्ला,Chautara,"2,542","287,798",[35]
Chitwan District,चितवन जिल्ला,Bharatpur,"2,218","579,984",[36]
Makwanpur District,मकवानपुर जिल्ला,Hetauda,"2,426","420,477",[37]
Province No. 3,प्रदेश नं. ३,Hetauda,"20,300 km²","5,529,452",[38]
