Districts,Nepali,Headquarters,Area (km2),Population (2011)[7],Official Website
Western Rukum District,पश्चिमी रूकुम जिल्ला,Musikot,"1,213.49","154,272",[64]
Salyan District,सल्यान जिल्ला,Salyan,"1,462","242,444",[65]
Dolpa District,डोल्पा जिल्ला,Dunai,"7,889","36,700",[66]
Humla District,हुम्ला जिल्ला,Simikot,"5,655","50,858",[67]
Jumla District,जुम्ला जिल्ला,Chandannath,"2,531","108,921",[68]
Kalikot District,कालिकोट जिल्ला,Manma,"1,741","136,948",[69]
Mugu District,मुगु जिल्ला,Gamgadhi,"3,535","55,286",[70]
Surkhet District,सुर्खेत जिल्ला,Birendranagar,"2,451","350,804",[71]
Dailekh District,दैलेख जिल्ला,Narayan,"1,502","261,770",[72]
Jajarkot District,जाजरकोट जिल्ला,Khalanga,"2,230","171,304",[73]
Karnali Pradesh,कर्णाली प्रदेश,Birendranagar,"27,984 km²","1,570,418",[74]
