Price of Rice - Retail in INR per KG in , India

Date,Price
January-1994,6.888888888888889
February-1994,7.390000000000001
March-1994,7.246666666666667
April-1994,7.7250000000000005
May-1994,7.575
June-1994,7.966666666666667
July-1994,8.025
August-1994,8.017857142857142
September-1994,8.111538461538462
October-1994,7.8
November-1994,8.274999999999999
December-1994,8.293750000000001
January-1995,8.155555555555557
February-1995,7.375
March-1995,8.09375
April-1995,8.18125
May-1995,8.077777777777778
June-1995,8.011111111111111
July-1995,8.142857142857142
August-1995,8.325
September-1995,8.011111111111111
October-1995,7.944444444444445
November-1995,8.044444444444444
December-1995,8.044444444444444
January-1996,8.33125
February-1996,8.755882352941176
March-1996,8.666666666666666
April-1996,9.027777777777779
May-1996,8.969444444444445
June-1996,9.243749999999999
July-1996,8.977777777777778
August-1996,9.091666666666667
September-1996,9.211111111111112
October-1996,9.272222222222222
November-1996,9.452777777777776
December-1996,9.48611111111111
January-1997,9.444444444444445
February-1997,9.613888888888889
March-1997,9.658333333333335
April-1997,9.711111111111112
May-1997,9.61470588235294
June-1997,9.8
July-1997,9.594444444444445
August-1997,9.680555555555555
September-1997,9.527777777777779
October-1997,9.71875
November-1997,9.558823529411764
December-1997,9.694444444444445
January-1998,9.529411764705882
February-1998,9.708333333333334
March-1998,9.63888888888889
April-1998,9.819444444444445
May-1998,9.627777777777778
June-1998,9.671875
July-1998,9.905555555555557
August-1998,10.552777777777777
September-1998,10.883333333333333
October-1998,10.71875
November-1998,10.852941176470589
December-1998,10.764705882352942
January-1999,10.779411764705882
February-1999,11.09375
March-1999,10.96875
April-1999,10.83125
May-1999,10.796875
June-1999,11.073529411764707
July-1999,11.25
August-1999,11.411764705882353
September-1999,11.446666666666665
October-1999,11.640625
November-1999,11.546875
December-1999,11.303571428571429
January-2000,11.109375
February-2000,11.258823529411766
March-2000,11.147058823529411
April-2000,11.441176470588236
May-2000,11.117647058823529
June-2000,11.03125
July-2000,10.941176470588236
August-2000,10.808823529411764
September-2000,10.647058823529411
October-2000,10.546875
November-2000,10.5
December-2000,10.289411764705884
January-2001,10.205882352941176
February-2001,10.161764705882353
March-2001,10.073529411764707
April-2001,10.014705882352942
May-2001,10.604166666666666
June-2001,10.4225
July-2001,10.545
August-2001,10.6425
September-2001,10.7325
October-2001,10.682500000000001
November-2001,10.67
December-2001,10.7375
January-2002,10.529411764705882
February-2002,10.308823529411764
March-2002,10.352777777777778
April-2002,10.376470588235295
May-2002,10.558823529411764
June-2002,10.544117647058824
July-2002,10.533333333333333
August-2002,10.547058823529412
September-2002,10.477777777777778
October-2002,10.691176470588236
November-2002,10.514705882352942
December-2002,10.458333333333334
January-2003,10.466666666666667
February-2003,10.847058823529412
March-2003,10.661111111111111
April-2003,10.647222222222222
May-2003,10.716666666666667
June-2003,10.81388888888889
July-2003,10.711111111111112
August-2003,10.594444444444443
September-2003,10.622222222222222
October-2003,10.970588235294118
November-2003,10.738888888888889
December-2003,10.823529411764707
January-2004,10.586111111111112
February-2004,10.600000000000001
March-2004,10.516666666666667
April-2004,10.683333333333334
May-2004,10.794444444444444
June-2004,10.822222222222223
July-2004,11
August-2004,11.058333333333334
September-2004,10.975000000000001
