Price of Rice - Wholesale in INR per 100 KG in Delhi, , India

Date,Price
January-2000,1075
February-2000,1050
March-2000,1050
April-2000,1053.33
May-2000,1069
June-2000,1050
July-2000,1042.5
August-2000,1025
September-2000,941.6700000000001
October-2000,880
November-2000,880
December-2000,878.3299999999999
January-2001,875
February-2001,875
March-2001,875
April-2001,926.25
May-2001,975
June-2001,975
July-2001,962.4999999999999
August-2001,965
September-2001,956.2499999999999
October-2001,950
November-2001,954.5
December-2001,970.25
January-2002,962.5
February-2002,928.75
March-2002,906.25
April-2002,900
May-2002,933.3299999999999
June-2002,901.67
July-2002,905
August-2002,936.25
September-2002,930
October-2002,935
November-2002,941.25
December-2002,916.6700000000001
January-2003,917
February-2003,921.6700000000001
March-2003,925
April-2003,926.25
May-2003,943.75
June-2003,921.6700000000001
July-2003,948.75
August-2003,933.75
September-2003,950
October-2003,966.25
November-2003,946.6700000000001
December-2003,965
January-2004,983.25
February-2004,1021.6700000000001
March-2004,1015
April-2004,1026.25
May-2004,1065
June-2004,1080
July-2004,1086.25
August-2004,1105
September-2004,1115
October-2004,1120
November-2004,1120
December-2004,1105
January-2005,1055
February-2005,1060
March-2005,1075
April-2005,1100
May-2005,1115
June-2005,1115
July-2005,1120
August-2005,1075
September-2005,1060
October-2005,1042
November-2005,1030
December-2005,1025
January-2006,1033
February-2006,1040
March-2006,1033
April-2006,1075
May-2006,1145
June-2006,1170
July-2006,1160
August-2006,1255
September-2006,1300
October-2006,1300
November-2006,1235
December-2006,1220
January-2007,1225
February-2007,1190
March-2007,1177
April-2007,1191
May-2007,1206
June-2007,1205
July-2007,1218
August-2007,1217
September-2007,1248
October-2007,1290
November-2007,1320
December-2007,1322
January-2008,1347
February-2008,1386
March-2008,1416
April-2008,1470
May-2008,1504
June-2008,1550
July-2008,1500
August-2008,1575
September-2008,1625
October-2008,1700
November-2008,1700
December-2008,1700
January-2009,1692.1099999999997
February-2009,1650
March-2009,1597.5
April-2009,1591.67
May-2009,1550
June-2009,1550.4799999999996
July-2009,1415.2200000000003
August-2009,1652.7799999999997
September-2009,1695
October-2009,1817.1099999999997
November-2009,1960.9399000000003
December-2009,1989.71
January-2010,2001.0698999999995
February-2010,1978.9500000000003
March-2010,1975
April-2010,1962.5
May-2010,1900
June-2010,1929.5500000000002
July-2010,1910.23
August-2010,1875.0000000000002
September-2010,1863.3299999999997
October-2010,1875.7500000000005
November-2010,1881.7499999999995
December-2010,1939.7699999999995
January-2011,1961
February-2011,1938.9499999999998
March-2011,1947.7299999999996
April-2011,1954.4399000000003
May-2011,1953.5699
June-2011,1939.3199
July-2011,1940.4800000000005
August-2011,1933.75
September-2011,1953.4099999999999
October-2011,1950
November-2011,1950
December-2011,1950
January-2012,1950
February-2012,1950
March-2012,1950
April-2012,1958.9301
May-2012,2051.3601
June-2012,2076.669899999999
July-2012,2050
August-2012,2120.790000000001
September-2012,2171.050000000001
October-2012,2178.9500000000007
November-2012,2105.26
December-2012,2137.5
January-2013,2178.570100000001
February-2013,2217.499999999999
March-2013,2323.6799
April-2013,2340
May-2013,2347.8301
June-2013,2385.000000000001
July-2013,2386.960000000001
August-2013,2356.669899999999
September-2013,2338.1000999999997
October-2013,2242.1101
November-2013,2250.000000000001
December-2013,2312.5
January-2014,2310
February-2014,2275.000000000001
March-2014,2264.999999999999
April-2014,2319.4398999999994
May-2014,2311.8998999999994
June-2014,2311.8999000000003
July-2014,2424.999999999999
August-2014,2573.679900000001
September-2014,2593.1799
October-2014,2726.6698999999994
November-2014,2644.4399000000003
December-2014,2497.7300000000005
January-2015,2370.000000000001
February-2015,2410
March-2015,2390.4799999999996
April-2015,2405.26
May-2015,2350.000000000001
June-2015,2320.449999999999
July-2015,2410.8701
August-2015,2342.8601
September-2015,2288.1000999999997
October-2015,2312.5
November-2015,2193.1000999999997
December-2015,2287.1000999999997
January-2016,2214.999999999998
February-2016,2224.139900000001
March-2016,2226.669899999998
April-2016,2211.6698999999994
May-2016,2225.8101000000015
June-2016,2317.999999999999
July-2016,2415.8101000000006
August-2016,2424.1399
September-2016,2376.6699
October-2016,2374.139900000001
November-2016,2411.6699000000012
December-2016,2412.8999000000003
January-2017,2421.669899999999
February-2017,2576.790000000001
March-2017,2505
April-2017,2579.3101000000015
May-2017,2473.330100000001
June-2017,2506.669900000001
July-2017,2535.4800000000005
August-2017,2548.3300999999997
September-2017,2599.999999999999
October-2017,2579.3101000000006
November-2017,2600
December-2017,2600.000000000001
January-2018,2648.9999999999995
February-2018,2673.570100000001
March-2018,2706.330099999999
April-2018,2691
May-2018,2662.739999999999
June-2018,2655.999999999999
July-2018,2670.320099999999
August-2018,2671
September-2018,2659.830099999999
October-2018,2663.169900000001
November-2018,2680
December-2018,2677.7400000000007
January-2019,2698.330099999999
February-2019,2702.1399
March-2019,2694.669900000001
April-2019,2672.000000000001
May-2019,2636
June-2019,2664.6699
