Price of Sugar - Wholesale in INR per 100 KG in , India

Date,Price
January-2009,2161.05
February-2009,2330.26
March-2009,2210.83495
April-2009,2334.94495
May-2009,2469.18995
June-2009,2521.78505
July-2009,2518.91505
August-2009,2976.5300500000003
September-2009,3132.125
October-2009,3157.64005
November-2009,3602.6550500000003
December-2009,3570.03
January-2010,4012.41005
February-2010,3929.2898999999998
March-2010,3383.3550999999998
April-2010,3039.44995
May-2010,3005.15
June-2010,2796.615
July-2010,2836.2049500000003
August-2010,2738.27005
September-2010,2731.905
October-2010,2767.275
November-2010,2853.44995
December-2010,2982.86495
January-2011,3004.125
February-2011,2925.37
March-2011,2914.4549500000003
April-2011,2893.8349500000004
May-2011,2883.69005
June-2011,2832
July-2011,2951.7850500000004
August-2011,2933.15
September-2011,2959.56995
October-2011,3004.355
November-2011,3155.56995
December-2011,3213.91005
January-2012,3100.29
February-2012,3052.08995
March-2012,3048.52
April-2012,3091.605
May-2012,3141.38505
June-2012,3140.8899
July-2012,3343
August-2012,3685.745
September-2012,3766.155
October-2012,3761.62
November-2012,3658.80505
December-2012,3605.725
January-2013,3453.4299499999997
February-2013,3447.18005
March-2013,3373.5549499999997
April-2013,3298.43005
May-2013,3311.96495
June-2013,3306.35
July-2013,3262.74
August-2013,3253.80505
September-2013,3249
October-2013,3244.525
November-2013,3207.16505
December-2013,3176.895
January-2014,3114.3200500000003
February-2014,3034.32495
March-2014,3048.05505
April-2014,3254.6499999999996
May-2014,3360.505
June-2014,3393.73495
July-2014,3433.0450499999997
August-2014,3358.5200000000004
September-2014,3256.1101
October-2014,3187.5348999999997
November-2014,3116.2201
December-2014,2960.93005
January-2015,2914.75
February-2015,2881.4699499999997
March-2015,2740.83495
April-2015,2684.02505
May-2015,2684.08995
June-2015,2571.475
July-2015,2425.63505
August-2015,2531.6050999999998
September-2015,2647.8401000000003
October-2015,2828.645
November-2015,2840.42505
December-2015,2931.5700500000003
January-2016,3177.04005
February-2016,3276.89505
March-2016,3400.135
April-2016,3656.375
May-2016,3646.505
June-2016,3698.95995
July-2016,3770
August-2016,3824.07495
September-2016,3808.0499
October-2016,3847.13
November-2016,3816.33495
December-2016,3749.4700000000003
January-2017,3905.92505
February-2017,4004.13
March-2017,4017.23
April-2017,3972.28505
May-2017,3972.0949499999997
June-2017,3930.3401000000003
July-2017,3925.33495
August-2017,3960.14005
September-2017,3929.25
October-2017,3925.4851
November-2017,3831.46495
December-2017,3568.3250500000004
January-2018,3403.70995
February-2018,3384.38
March-2018,3335.7950499999997
April-2018,3063.245
May-2018,2854.08495
June-2018,3218.38
July-2018,3385.19005
August-2018,3345.765
September-2018,3306.2848999999997
October-2018,3342.3900000000003
November-2018,3314.83495
December-2018,3223.145
January-2019,3254.80005
February-2019,3290.91505
March-2019,3293
April-2019,3312.41505
May-2019,3403.38
June-2019,3404.30005
