Price of Rice - Wholesale in INR per 100 KG in India

Date,Price
January-2000,1019.75
February-2000,1024.375
March-2000,1018.15
April-2000,1003.5825
May-2000,1001.6
June-2000,1000
July-2000,998.3325
August-2000,987.375
September-2000,997.14
October-2000,968.3333333333334
November-2000,932.5
December-2000,920.8325
January-2001,913.125
February-2001,950
March-2001,950
April-2001,894.0625
May-2001,950
June-2001,920.625
July-2001,937.0825
August-2001,921.25
September-2001,931.77
October-2001,948.25
November-2001,954.875
December-2001,956.3125
January-2002,944.375
February-2002,923.4375
March-2002,892.1875
April-2002,892.9175
May-2002,890.8325
June-2002,874.1675
July-2002,875
August-2002,899.6875
September-2002,909.5825
October-2002,933.75
November-2002,935.3125
December-2002,929.1675
January-2003,931.75
February-2003,852.9175
March-2003,907.25
April-2003,891.0625
May-2003,904.8125
June-2003,896.1675
July-2003,902.9375
August-2003,917.9375
September-2003,939.4175
October-2003,944.75
November-2003,924.9175
December-2003,930.85
January-2004,937.8125
February-2004,944.9175
March-2004,923.75
April-2004,915.4375
May-2004,935.125
June-2004,954.5
July-2004,956.0625
August-2004,952.4175
September-2004,974.875
October-2004,1030
November-2004,1030
December-2004,1026.25
January-2005,1013.75
February-2005,1015
March-2005,1025
April-2005,1037.5
May-2005,1048.75
June-2005,1037.5
July-2005,1025.75
August-2005,1025
September-2005,1006.875
October-2005,1002.75
November-2005,1007.625
December-2005,1050
January-2006,1058.25
February-2006,1078.75
March-2006,1077
April-2006,1087.5
May-2006,1114.375
June-2006,1131.5625
July-2006,1115
August-2006,1132.5
September-2006,1143.75
October-2006,1143.75
November-2006,1115
December-2006,1117.5
January-2007,1100
February-2007,1087.1875
March-2007,1095.1875
April-2007,1097.75
May-2007,1129.625
June-2007,1142.1875
July-2007,1167
August-2007,1183
September-2007,1190.75
October-2007,1216.25
November-2007,1242.5
December-2007,1268
January-2008,1302.375
February-2008,1365.25
March-2008,1394
April-2008,1385
May-2008,1360.1675
June-2008,1355.4175
July-2008,1442.8125
August-2008,1490.625
September-2008,1492.5
October-2008,1496.25
November-2008,1531.25
December-2008,1528.125
January-2009,1517.5275
February-2009,1497.5
March-2009,1491.5625
April-2009,1497.9175
May-2009,1491.0725
June-2009,1515.745
July-2009,1472.555
August-2009,1565.2775
September-2009,1601.875
October-2009,1649.59
November-2009,1787.67245
December-2009,1799.522475
January-2010,1711.404975
February-2010,1703.657525
March-2010,1732.702525
April-2010,1777.75
May-2010,1768.4075
June-2010,1771.775
July-2010,1784.297475
August-2010,1815.8575
September-2010,1862.607525
October-2010,1884.025
November-2010,1911.0375
December-2010,1923.33
January-2011,1927.75
February-2011,1922.2375
March-2011,1924.4325
April-2011,1928.887475
May-2011,1933.03495
June-2011,1908.125
July-2011,1910.5475000000001
August-2011,1930.3125
September-2011,1989.49
October-2011,1990.332475
November-2011,2017.7775
December-2011,2017.025
January-2012,2021.25
February-2012,2021.25
March-2012,2021.25
April-2012,2039.68005
May-2012,2177.897525
June-2012,2236.1324999999997
July-2012,2283.525
August-2012,2372.0725
September-2012,2323.937475
October-2012,2364.7375
November-2012,2368.26
December-2012,2387.467525
January-2013,2425.892525
February-2013,2440.8875
March-2013,2389.472475
April-2013,2362.467475
May-2013,2417.47505
June-2013,2496.667475
July-2013,2602.4225
August-2013,2542.6399499999998
September-2013,2522.6825
October-2013,2440.05255
November-2013,2396.3225
December-2013,2426.152525
January-2014,2426.842525
February-2014,2455.955025
March-2014,2446.457525
April-2014,2437.672475
May-2014,2461.797475
June-2014,2465.474975
July-2014,2527.2724749999998
August-2014,2569.3924500000003
September-2014,2608.532525
October-2014,2483.0575
November-2014,2454.685
December-2014,2323.354975
January-2015,2265.6975
February-2015,2335.972475
March-2015,2396.962525
April-2015,2386.1825
May-2015,2392.104975
June-2015,2432.115
July-2015,2412.945
August-2015,2350.715025
September-2015,2363.900025
October-2015,2333.56
November-2015,2326.31
December-2015,2320.857475
January-2016,2351.2274749999997
February-2016,2321.2124750000003
March-2016,2302.9949749999996
April-2016,2282.1024749999997
May-2016,2346.0550000000003
June-2016,2398.832525
July-2016,2389.66755
August-2016,2380.63245
September-2016,2403.219975
October-2016,2452.5874750000003
November-2016,2449.4224750000003
December-2016,2533.94
January-2017,2647.2649499999998
February-2017,2681.6975
March-2017,2621.815
April-2017,2646.6150500000003
May-2017,2621.0249750000003
June-2017,2697.787475
July-2017,2730.2400000000002
August-2017,2780.3224999999998
September-2017,2833.9275
October-2017,2809.202525
November-2017,2807.065
December-2017,2823.8625
January-2018,2896.047475
February-2018,2913.392525
March-2018,2901.582525
April-2018,2910.25
May-2018,2916.7274749999997
June-2018,2925.957525
July-2018,2834.0074999999997
August-2018,2871.957525
September-2018,2803.2325499999997
October-2018,2788.182475
November-2018,2800.9375
December-2018,2817.26
January-2019,2867.195025
February-2019,2925.534975
March-2019,2900.94
April-2019,2800.3225
May-2019,2799.217525
June-2019,2920.2425
