Price of Wheat - Wholesale in INR per 100 KG in India

Date,Price
January-2000,842.1675
February-2000,858.75
March-2000,835.875
April-2000,798.0825
May-2000,800.625
June-2000,793.9375
July-2000,781.8325
August-2000,760.5625
September-2000,765.1666666666666
October-2000,764.89
November-2000,764.5
December-2000,775.4375
January-2001,777.9375
February-2001,782.125
March-2001,782.875
April-2001,767.875
May-2001,754.2825
June-2001,751.375
July-2001,768.5
August-2001,740
September-2001,760.5
October-2001,779.25
November-2001,798.125
December-2001,797.5
January-2002,795
February-2002,799.6875
March-2002,799.5625
April-2002,803.0625
May-2002,791.2325
June-2002,793.4375
July-2002,793.5
August-2002,797.5
September-2002,801.875
October-2002,813.5
November-2002,831.875
December-2002,856.4375
January-2003,828.25
February-2003,839.0625
March-2003,852.1875
April-2003,845.6
May-2003,798.4375
June-2003,804.6875
July-2003,806.5
August-2003,801.875
September-2003,814.6875
October-2003,833.6
November-2003,842.9375
December-2003,854.3
January-2004,915.875
February-2004,899.8125
March-2004,867.5
April-2004,837.75
May-2004,827.625
June-2004,819.75
July-2004,829.75
August-2004,826.1875
September-2004,827.25
October-2004,819.1875
November-2004,838.6675
December-2004,840.75
January-2005,847.75
February-2005,871.25
March-2005,878.75
April-2005,861.25
May-2005,861.6875
June-2005,854.75
July-2005,871.125
August-2005,878.125
September-2005,881.5625
October-2005,898.75
November-2005,932.5
December-2005,966.4375
January-2006,1008.125
February-2006,1023.25
March-2006,1057
April-2006,1027.5
May-2006,1008.75
June-2006,1047.5
July-2006,1079.75
August-2006,1112.25
September-2006,1134.375
October-2006,1183.75
November-2006,1264.35
December-2006,1278.1
January-2007,1282.5
February-2007,1265
March-2007,1187.8125
April-2007,1162.5
May-2007,1138.125
June-2007,1140.625
July-2007,1172.8125
August-2007,1184.6875
September-2007,1192.5
October-2007,1229.6875
November-2007,1254.375
December-2007,1292.5
January-2008,1306.875
February-2008,1315.3125
March-2008,1325
April-2008,1322.5
May-2008,1275
June-2008,1281.25
July-2008,1304.375
August-2008,1275
September-2008,1275
October-2008,1272.5
November-2008,1280.5625
December-2008,1311.25
January-2009,1333.24
February-2009,1340
March-2009,1348.1675
April-2009,1285.07
May-2009,1291.875
June-2009,1313.452525
July-2009,1310.7075
August-2009,1359.305
September-2009,1382.125
October-2009,1431.01
November-2009,1565.172475
December-2009,1595.5275
January-2010,1598.007525
February-2010,1590.71
March-2010,1555.5124999999998
April-2010,1474.3
May-2010,1445.607525
June-2010,1504.105
July-2010,1517.5349999999999
August-2010,1552.1
September-2010,1585.225
October-2010,1597.6875
November-2010,1614.4875
December-2010,1605.4425
January-2011,1670.85
February-2011,1673.4499999999998
March-2011,1627.159975
April-2011,1519.7225
May-2011,1520.2375
June-2011,1490.9775
July-2011,1481.7150000000001
August-2011,1492.25
September-2011,1521.535
October-2011,1513.355
November-2011,1489.487525
December-2011,1491.892475
January-2012,1500.992475
February-2012,1565.935
March-2012,1580.66
April-2012,1593.340025
May-2012,1619.1475
June-2012,1626.5900000000001
July-2012,1606.6174999999998
August-2012,1721.6750000000002
September-2012,1846.0774999999999
October-2012,1845.97
November-2012,1892.6975
December-2012,1993.5850249999999
January-2013,1982.5625499999999
February-2013,2002
March-2013,2014.597525
April-2013,1978.325025
May-2013,1962.762475
June-2013,2024.375
July-2013,2023.5875
August-2013,1980.1400250000002
September-2013,1985.429925
October-2013,1978.4325
November-2013,2059.8199999999997
December-2013,2109.125
January-2014,2061.7075
February-2014,2098.787475
March-2014,2083.875
April-2014,2008.4375
May-2014,2013.3325
June-2014,2029.40495
July-2014,1987.7849999999999
August-2014,2020.780025
September-2014,2000.3750249999998
October-2014,1965.5825
November-2014,1976.024975
December-2014,1941.335
January-2015,1946.875
February-2015,1932.4849749999998
March-2015,1920.8199999999997
April-2015,1904.335
May-2015,1906.5399750000001
June-2015,1854.60995
July-2015,1829.4875000000002
August-2015,1876.13
September-2015,1943.5
October-2015,2006.3975249999999
November-2015,2042.5325
December-2015,2040.007525
January-2016,2022.3200000000002
February-2016,2059.165
March-2016,2022.357475
April-2016,1946.8850249999998
May-2016,1943.530025
June-2016,1998.99755
July-2016,2055.59
August-2016,2097.5
September-2016,2088.882525
October-2016,2111.8824999999997
November-2016,2282.909975
December-2016,2388.417475
January-2017,2326.632575
February-2017,2263.4049999999997
March-2017,2176.607525
April-2017,2059.604975
May-2017,2022.3325
June-2017,2025.125
July-2017,2010.4425
August-2017,2025.0899749999999
September-2017,2026.3825
October-2017,2028.514975
November-2017,2050
December-2017,2094.1275
January-2018,2090.32755
February-2018,2140.492525
March-2018,2115.02745
April-2018,2065.4225
May-2018,2080.344975
June-2018,2173.989975
July-2018,2189.582525
August-2018,2328.029975
September-2018,2374.085
October-2018,2389.799975
November-2018,2451.8199999999997
December-2018,2506.15245
January-2019,2531.4775250000002
February-2019,2563.3350250000003
March-2019,2504.67505
April-2019,2343.5474750000003
May-2019,2307.7900250000002
June-2019,2391.6000249999997
