,,,,,,,,,,,,,,,,,,,,,,
#adm1+code,#adm1+name,#item+type,#item+type+code,#item+code,#item+name,#item+name+short,#country+name,#currency,#date,,,#item+label,,#name+market,#value,,,#meta+id,,#item+unit,,0
adm1id,admname,category,catid,cmid,cmname,cmnameshort,country,currency,date,default,interpolated,label,mktid,mktname,price,ptid,scaling,sn,umid,unit,x,year
2154,Far Western,cereals and tubers,1,52,Rice - Retail,Rice,Nepal,NPR,2014-02-15,,0,Rice - Retail (KG),662,Kailali,36.5,15,1,662_52_15_5,5,KG,1392422400,2014
2153,Eastern,cereals and tubers,1,52,Rice - Retail,Rice,Nepal,NPR,2014-03-15,,0,Rice - Retail (KG),663,Morang,38,15,1,663_52_15_5,5,KG,1394841600,2014
2153,Eastern,cereals and tubers,1,52,Rice - Retail,Rice,Nepal,NPR,2014-04-15,,0,Rice - Retail (KG),647,Dhankuta,40,15,1,647_52_15_5,5,KG,1397520000,2014
2153,Eastern,cereals and tubers,1,52,Rice - Retail,Rice,Nepal,NPR,2014-05-15,,0,Rice - Retail (KG),663,Morang,40,15,1,663_52_15_5,5,KG,1400112000,2014
2154,Far Western,cereals and tubers,1,52,Rice - Retail,Rice,Nepal,NPR,2014-06-15,,0,Rice - Retail (KG),662,Kailali,40.2,15,1,662_52_15_5,5,KG,1402790400,2014
2153,Eastern,cereals and tubers,1,52,Rice - Retail,Rice,Nepal,NPR,2014-07-15,,0,Rice - Retail (KG),647,Dhankuta,42,15,1,647_52_15_5,5,KG,1405382400,2014
2152,Central,cereals and tubers,1,52,Rice - Retail,Rice,Nepal,NPR,2014-08-15,,0,Rice - Retail (KG),664,Parsa,42,15,1,664_52_15_5,5,KG,1408060800,2014
2153,Eastern,cereals and tubers,1,52,Rice - Retail,Rice,Nepal,NPR,2014-09-15,,0,Rice - Retail (KG),647,Dhankuta,42,15,1,647_52_15_5,5,KG,1410739200,2014
2152,Central,cereals and tubers,1,52,Rice - Retail,Rice,Nepal,NPR,2014-10-15,,0,Rice - Retail (KG),664,Parsa,44,15,1,664_52_15_5,5,KG,1413331200,2014
