#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,
2004-03-15,Rice - Retail,KG,cereals and tubers,19,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,default
2004-04-15,Rice - Retail,KG,cereals and tubers,19,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2004-05-15,Rice - Retail,KG,cereals and tubers,19.2,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2004-06-15,Rice - Retail,KG,cereals and tubers,19.2,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2004-07-15,Rice - Retail,KG,cereals and tubers,19.2,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2004-08-15,Rice - Retail,KG,cereals and tubers,19.6,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2004-09-15,Rice - Retail,KG,cereals and tubers,19.2,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2004-10-15,Rice - Retail,KG,cereals and tubers,19.2,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2004-11-15,Rice - Retail,KG,cereals and tubers,17.825,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2004-12-15,Rice - Retail,KG,cereals and tubers,16,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2005-01-15,Rice - Retail,KG,cereals and tubers,17,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2005-02-15,Rice - Retail,KG,cereals and tubers,17.245,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2005-03-15,Rice - Retail,KG,cereals and tubers,17,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2005-04-15,Rice - Retail,KG,cereals and tubers,17,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2005-05-15,Rice - Retail,KG,cereals and tubers,17,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2005-06-15,Rice - Retail,KG,cereals and tubers,17,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2005-07-15,Rice - Retail,KG,cereals and tubers,18.5,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2005-08-15,Rice - Retail,KG,cereals and tubers,20,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2005-09-15,Rice - Retail,KG,cereals and tubers,20,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2005-10-15,Rice - Retail,KG,cereals and tubers,20,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2005-11-15,Rice - Retail,KG,cereals and tubers,19.1,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2005-12-15,Rice - Retail,KG,cereals and tubers,17.8,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2006-01-15,Rice - Retail,KG,cereals and tubers,18.6,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2006-02-15,Rice - Retail,KG,cereals and tubers,19.2,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2006-03-15,Rice - Retail,KG,cereals and tubers,18.8,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2006-04-15,Rice - Retail,KG,cereals and tubers,21,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2006-05-15,Rice - Retail,KG,cereals and tubers,24,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2006-06-15,Rice - Retail,KG,cereals and tubers,24,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2006-07-15,Rice - Retail,KG,cereals and tubers,24,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2006-08-15,Rice - Retail,KG,cereals and tubers,24,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2006-09-15,Rice - Retail,KG,cereals and tubers,26,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2006-10-15,Rice - Retail,KG,cereals and tubers,39.1,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2006-11-15,Rice - Retail,KG,cereals and tubers,39.1,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2006-12-15,Rice - Retail,KG,cereals and tubers,24,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2007-01-15,Rice - Retail,KG,cereals and tubers,21.5,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2007-02-15,Rice - Retail,KG,cereals and tubers,21.5,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2007-03-15,Rice - Retail,KG,cereals and tubers,21.5,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2007-04-15,Rice - Retail,KG,cereals and tubers,24,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2007-05-15,Rice - Retail,KG,cereals and tubers,22.5,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2007-06-15,Rice - Retail,KG,cereals and tubers,25,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2007-07-15,Rice - Retail,KG,cereals and tubers,25.5,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2007-08-15,Rice - Retail,KG,cereals and tubers,26.5,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2007-09-15,Rice - Retail,KG,cereals and tubers,28,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2007-10-15,Rice - Retail,KG,cereals and tubers,29.5,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2007-11-15,Rice - Retail,KG,cereals and tubers,27,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2007-12-15,Rice - Retail,KG,cereals and tubers,28.5,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2008-01-15,Rice - Retail,KG,cereals and tubers,35,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2008-02-15,Rice - Retail,KG,cereals and tubers,35,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2008-03-15,Rice - Retail,KG,cereals and tubers,30,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2008-04-15,Rice - Retail,KG,cereals and tubers,31,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2008-05-15,Rice - Retail,KG,cereals and tubers,33.5,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2008-06-15,Rice - Retail,KG,cereals and tubers,34,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2008-07-15,Rice - Retail,KG,cereals and tubers,40,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2008-08-15,Rice - Retail,KG,cereals and tubers,40,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2008-09-15,Rice - Retail,KG,cereals and tubers,39.5,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2008-10-15,Rice - Retail,KG,cereals and tubers,40,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2008-11-15,Rice - Retail,KG,cereals and tubers,40,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2008-12-15,Rice - Retail,KG,cereals and tubers,40,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2009-01-15,Rice - Retail,KG,cereals and tubers,40,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2009-02-15,Rice - Retail,KG,cereals and tubers,36,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2009-03-15,Rice - Retail,KG,cereals and tubers,34,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2009-04-15,Rice - Retail,KG,cereals and tubers,37,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
