Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F
149,Nepal,221,"Almonds, with shell",5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,74405,,79974,,82693,,86634,,85790,,90080,,110798,,124550.4,F,128211,F,165143.8,F,284722.2,,293263.9,,298260,,301839.1,,305461.2,,297405.5,,291457.4,
149,Nepal,221,"Almonds, with shell",5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,74405,,79974,,82693,,86634,,85790,,90080,,110798,,124550.4,F,128211,F,165143.8,F,284722.2,,293263.9,,298260,,301839.1,,305461.2,,297405.5,,291457.4,
149,Nepal,221,"Almonds, with shell",5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,,,992.7,,1026.9,,1086,,1175.9,,1202.1,,1238.1,,1668.3,,1785.4,F,1652.8,F,2254.1,F,3846.6,,3442.2,,3207.3,,3029.7,,2975.9,,2767.6,,2789.9,
149,Nepal,515,Apples,5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,27249,,27662,,29033,,30471,,28813,,30320,,32442,,36137.4,,53794,,71008.1,,62000,,65000,,67489.9,,68299.8,,69119.4,,69761.1,,76039.6,
149,Nepal,515,Apples,5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,27249,,27662,,29033,,30471,,28813,,30320,,32442,,36137.4,,53794,,71008.1,,62000,,65000,,67489.9,,68299.8,,69119.4,,69761.1,,76039.6,
149,Nepal,515,Apples,5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,,,363.6,,355.2,,381.3,,413.6,,403.7,,416.7,,488.5,,518,,693.5,,969.2,,837.6,,762.9,,725.7,,685.6,,673.4,,649.2,,727.9,
149,Nepal,526,Apricots,5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,20622,,22855,,19949,,21775,,25119,,22936,,24541,,27587.1,F,40692.8,,53714.5,,52900,,41100,,49240,,49830.9,,50428.8,,50897.1,,55477.8,
149,Nepal,526,Apricots,5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,20622,,22855,,19949,,21775,,25119,,22936,,24541,,27587.1,F,40692.8,,53714.5,,52900,,41100,,49240,,49830.9,,50428.8,,50897.1,,55477.8,
149,Nepal,526,Apricots,5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,,,275.1,,293.5,,262,,295.6,,352,,315.2,,369.5,,395.4,F,524.6,,733.2,,714.7,,482.4,,529.5,,500.2,,491.3,,473.6,,531,
149,Nepal,226,Areca nuts,5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,24919,,26182,,24788,,26892,,25853,,27500,,33825,,38023.4,F,39140.9,F,50416,F,52500,,53500,,55650,,56317.8,,56993.6,,55490.6,,54380.7,
