Fiscal year,Commodity,Area,Production,Productivity
1962,Maize ,432000,843000,1951
1963,Maize ,431000,843000,1955
1964,Maize ,434000,849000,1956
1965,Maize ,437000,854000,1954
1966,Maize ,451000,856000,1899
1967,Maize ,450000,824000,1831
1968,Maize ,412000,746000,1809
1969,Maize ,422000,765000,1814
1970,Maize ,433000,795000,1836
1971,Maize ,446000,833000,1869
1972,Maize ,439000,759000,1730
1973,Maize ,446000,822000,1845
1974,Maize ,453000,814000,1795
1975,Maize ,458000,827000,1805
1976,Maize ,452520,747010,1653
1977,Maize ,445350,797339,1790
1978,Maize ,444980,740470,1664
1979,Maize ,454140,742590,1635
1980,Maize ,432340,575910,1332
1981,Maize ,457450,742940,1624
1982,Maize ,475490,751520,1581
1983,Maize ,510770,718240,1406
1984,Maize ,503770,761110,1511
1985,Maize ,578720,819850,1417
1986,Maize ,614680,873750,1421
1987,Maize ,626710,868350,1386
1988,Maize ,673810,901500,1338
1989,Maize ,721870,1071610,1484
1990,Maize ,751170,1200990,1599
1991,Maize ,757710,1230950,1625
1992,Maize ,754090,1204710,1598
1993,Maize ,775220,1290500,1665
1994,Maize ,754099,1253830,1663
1995,Maize ,771410,1302116,1688
1996,Maize ,791700,1331060,1681
1997,Maize ,793720,1316840,1659
1998,Maize ,799060,1367340,1711
1999,Maize ,802290,1345910,1678
2000,Maize ,819010,1445450,1765
2001,Maize ,824525,1484112,1800
2002,Maize ,825980,1510770,1829
2003,Maize ,836190,1569140,1877
2004,Maize ,834285,1590097,1906
2005,Maize ,849892,1716042,2019
2006,Maize ,850947,1734417,2038
2007,Maize ,870401,1819925,2091
2008,Maize ,870166,1878648,2159
2009,Maize ,875428,1930669,2205
2010,Maize ,875660,1855184,2119
2011,Maize ,906253,2067522.01,2281
2012,Maize ,871387,2179413.61,2501
2013,Maize ,849635,1999010,2353
2014,Maize ,928761,2283222,2454
2015,Maize ,882395,2145291,2431
2016,Maize ,891583,2231517,2503
2017,Maize ,900288,2300121,2555
1962,wheat,112000,138000,1230
1963,wheat,112000,138000,1228
1964,wheat,113000,139000,1226
1965,wheat,100000,126000,1260
1966,wheat,118000,147000,1249
1967,wheat,126000,159000,1267
1968,wheat,192000,205000,1066
1969,wheat,208000,233000,1119
1970,wheat,226000,265000,1173
1971,wheat,228000,193000,846
1972,wheat,239000,223000,933
1973,wheat,259000,312000,1204
1974,wheat,274000,308000,1126
1975,wheat,291000,331000,1137
1976,wheat,328574,387007,1178
1977,wheat,348280,361853,1039
1978,wheat,367240,411270,1120
1979,wheat,356180,415230,1166
1980,wheat,366860,439990,1199
1981,wheat,391790,477190,1218
1982,wheat,399890,525930,1315
1983,wheat,483820,656630,1357
1984,wheat,471750,633700,1343
1985,wheat,451890,533720,1181
1986,wheat,482820,598000,1239
1987,wheat,535530,701040,1309
1988,wheat,596750,744600,1248
1989,wheat,599290,830050,1385
1990,wheat,604240,854960,1415
1991,wheat,592740,835970,1410
1992,wheat,571260,761960,1334
1993,wheat,613980,765000,1246
1994,wheat,611309,898892,1470
1995,wheat,624329,941680,1508
1996,wheat,653500,1012930,1550
1997,wheat,667120,1071970,1607
1998,wheat,640030,1030320,1610
1999,wheat,640802,1086470,1695
2000,wheat,660040,1183530,1793
2001,wheat,641030,1157865,1806
2002,wheat,667077,1258045,1886
2003,wheat,669014,1344192,2009
2004,wheat,664589,1387191,2087
2005,wheat,675807,1442442,2134
2006,wheat,672040,1394126.1,2074
2007,wheat,702664,1515139,2156
2008,wheat,706481,1572065,2225
2009,wheat,694950,1343862,1934
2010,wheat,731131,1556539,2129
2011,wheat,767499,1745811,2275
2012,wheat,765316.7353,1846142.294,2412
2013,wheat,759843,1882220,2477
2014,wheat,754474,1883147,2496
2015,wheat,762373,1975625,2591
2016,wheat,745823,1736849,2329
2017,wheat,735850,1879191,2554
1962,Paddy,1088000,2108000,1937
1963,Paddy,1090000,2108000,1434
1964,Paddy,1090000,2109000,1934
1965,Paddy,1101000,2201000,1999
1966,Paddy,1111000,2207000,1986
1967,Paddy,1100000,2007000,1825
1968,Paddy,1154000,2119000,1836
1969,Paddy,1162000,2178000,1874
1970,Paddy,1173000,2241000,1910
1971,Paddy,1182000,2305000,1949
1972,Paddy,1201000,2344000,1952
1973,Paddy,1140000,2010000,1763
1974,Paddy,1227000,2416000,1969
1975,Paddy,1240000,2452000,1978
1976,Paddy,1255795,2604751,2074
1977,Paddy,1261619,2386272,1891
1978,Paddy,1264060,2282430,1806
1979,Paddy,1262650,2339280,1853
1980,Paddy,1254240,2059930,1642
1981,Paddy,1275520,2464310,1932
1982,Paddy,1296530,2560080,1975
1983,Paddy,1264840,1832620,1449
1984,Paddy,1334200,2756980,2066
1985,Paddy,1376860,2709430,1968
1986,Paddy,1391040,2804490,2016
1987,Paddy,1333360,2372020,1779
1988,Paddy,1423290,2981780,2095
1989,Paddy,1450470,3283210,2264
1990,Paddy,1432850,3389670,2366
1991,Paddy,1455170,3502160,2407
1992,Paddy,1411810,3222540,2283
1993,Paddy,1262110,2584900,2048
1994,Paddy,1450449,3495589,2410
1995,Paddy,1368423,2906184,2124
1996,Paddy,1496790,3578830,2391
1997,Paddy,1511230,3710650,2455
1998,Paddy,1506340,3640860,2417
1999,Paddy,1514210,3709770,2450
2000,Paddy,1550990,4030100,2598
2001,Paddy,1560044,4216465,2703
2002,Paddy,1516980,4164686.703,2745
2003,Paddy,1544660,4132500,2675
2004,Paddy,1559436,4455722,2857
2005,Paddy,1541729,4289827,2782
2006,Paddy,1549447,4209279.022,2717
2007,Paddy,1439525,3680838,2557
2008,Paddy,1549262,4299246,2775
2009,Paddy,1555940,4523693,2907
2010,Paddy,1481289,4023823,2716
2011,Paddy,1496476,4460278.188,2981
2012,Paddy,1531493,5072248.47,3312
2013,Paddy,1420570,4504503,3171
2014,Paddy,1486951,5047047,3394
2015,Paddy,1425346,4788612,3360
2016,Paddy,1362908,4299079,3154
2017,Paddy,1552469,5230327,3369
1962,Barley,,,
1963,Barley,,,
1964,Barley,,,
1965,Barley,26000,24000,1083
1966,Barley,28000,27000,1049
1967,Barley,28000,27000,1049
