-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1990 through 10/31/2019 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,DOY,PRECTOT,RH2M
27.25,84.25,1990,001,    0.00,   35.72
27.25,84.75,1990,001,    0.00,   34.18
27.25,85.25,1990,001,    0.00,   32.83
27.25,84.25,1990,002,    0.00,   26.32
27.25,84.75,1990,002,    0.00,   25.55
27.25,85.25,1990,002,    0.00,   25.61
27.25,84.25,1990,003,    0.00,   23.13
27.25,84.75,1990,003,    0.00,   22.23
27.25,85.25,1990,003,    0.00,   22.36
27.25,84.25,1990,004,    0.00,   20.91
27.25,84.75,1990,004,    0.00,   19.95
27.25,85.25,1990,004,    0.00,   19.92
27.25,84.25,1990,005,    0.00,   24.41
27.25,84.75,1990,005,    0.00,   22.19
27.25,85.25,1990,005,    0.00,   21.03
27.25,84.25,1990,006,    0.00,   25.91
27.25,84.75,1990,006,    0.00,   24.11
27.25,85.25,1990,006,    0.00,   23.31
27.25,84.25,1990,007,    0.00,   23.98
27.25,84.75,1990,007,    0.00,   22.70
27.25,85.25,1990,007,    0.00,   22.76
27.25,84.25,1990,008,    0.00,   30.19
27.25,84.75,1990,008,    0.00,   29.17
27.25,85.25,1990,008,    0.00,   29.20
27.25,84.25,1990,009,    0.00,   30.53
27.25,84.75,1990,009,    0.00,   28.68
27.25,85.25,1990,009,    0.00,   28.02
27.25,84.25,1990,010,    0.00,   29.31
27.25,84.75,1990,010,    0.00,   27.57
27.25,85.25,1990,010,    0.00,   27.06
27.25,84.25,1990,011,    0.00,   26.51
27.25,84.75,1990,011,    0.00,   26.20
