-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1990 through 10/31/2019 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,DOY,PRECTOT,RH2M
27.25,83.25,1990,001,    0.00,   35.24
27.25,83.75,1990,001,    0.00,   37.13
27.75,83.25,1990,001,    0.00,   29.73
27.75,83.75,1990,001,    0.00,   31.43
27.25,83.25,1990,002,    0.00,   29.95
27.25,83.75,1990,002,    0.00,   28.72
27.75,83.25,1990,002,    0.00,   26.07
27.75,83.75,1990,002,    0.00,   25.90
27.25,83.25,1990,003,    0.00,   27.19
27.25,83.75,1990,003,    0.00,   25.81
27.75,83.25,1990,003,    0.00,   23.08
27.75,83.75,1990,003,    0.00,   22.45
27.25,83.25,1990,004,    0.00,   24.91
27.25,83.75,1990,004,    0.00,   23.72
27.75,83.25,1990,004,    0.00,   21.11
27.75,83.75,1990,004,    0.00,   19.57
27.25,83.25,1990,005,    0.00,   28.97
27.25,83.75,1990,005,    0.00,   27.30
27.75,83.25,1990,005,    0.01,   23.12
27.75,83.75,1990,005,    0.01,   21.65
27.25,83.25,1990,006,    0.00,   29.79
27.25,83.75,1990,006,    0.00,   28.63
27.75,83.25,1990,006,    0.05,   25.45
27.75,83.75,1990,006,    0.00,   23.86
27.25,83.25,1990,007,    0.00,   29.81
27.25,83.75,1990,007,    0.00,   27.42
27.75,83.25,1990,007,    0.00,   29.50
27.75,83.75,1990,007,    0.00,   26.31
27.25,83.25,1990,008,    0.00,   34.68
27.25,83.75,1990,008,    0.00,   32.52
27.75,83.25,1990,008,    0.00,   30.87
27.75,83.75,1990,008,    0.00,   28.80
27.25,83.25,1990,009,    0.00,   33.68
27.25,83.75,1990,009,    0.00,   32.97
27.75,83.25,1990,009,    0.00,   28.23
27.75,83.75,1990,009,    0.00,   29.16
27.25,83.25,1990,010,    0.00,   32.87
27.25,83.75,1990,010,    0.00,   31.99
27.75,83.25,1990,010,    0.00,   30.27
27.75,83.75,1990,010,    0.00,   30.10
27.25,83.25,1990,011,    0.00,   30.12
27.25,83.75,1990,011,    0.00,   28.59
27.75,83.25,1990,011,    0.00,   29.69
27.75,83.75,1990,011,    0.00,   28.47
27.25,83.25,1990,012,    0.00,   28.01
27.25,83.75,1990,012,    0.00,   26.64
27.75,83.25,1990,012,    0.00,   28.87
27.75,83.75,1990,012,    0.00,   27.31
27.25,83.25,1990,013,    0.00,   31.05
27.25,83.75,1990,013,    0.00,   28.76
27.75,83.25,1990,013,    0.00,   30.55
27.75,83.75,1990,013,    0.00,   29.33
27.25,83.25,1990,014,    0.00,   33.92
27.25,83.75,1990,014,    0.00,   32.67
27.75,83.25,1990,014,    0.00,   31.23
27.75,83.75,1990,014,    0.00,   31.03
27.25,83.25,1990,015,    0.00,   31.34
27.25,83.75,1990,015,    0.00,   31.06
27.75,83.25,1990,015,    0.00,   28.57
27.75,83.75,1990,015,    0.00,   30.08
27.25,83.25,1990,016,    0.00,   25.90
27.25,83.75,1990,016,    0.00,   24.70
27.75,83.25,1990,016,    0.00,   24.14
27.75,83.75,1990,016,    0.00,   24.11
27.25,83.25,1990,017,    0.00,   24.39
27.25,83.75,1990,017,    0.00,   23.23
27.75,83.25,1990,017,    0.00,   23.01
27.75,83.75,1990,017,    0.00,   21.42
27.25,83.25,1990,018,    0.00,   28.10
27.25,83.75,1990,018,    0.00,   27.79
27.75,83.25,1990,018,    0.00,   26.36
27.75,83.75,1990,018,    0.00,   23.40
27.25,83.25,1990,019,    0.00,   31.46
27.25,83.75,1990,019,    0.00,   29.37
27.75,83.25,1990,019,    0.00,   29.03
27.75,83.75,1990,019,    0.00,   26.56
27.25,83.25,1990,020,    0.00,   34.16
27.25,83.75,1990,020,    0.00,   32.14
27.75,83.25,1990,020,    0.00,   32.27
27.75,83.75,1990,020,    0.00,   31.22
27.25,83.25,1990,021,    0.00,   30.00
27.25,83.75,1990,021,    0.00,   28.13
27.75,83.25,1990,021,    0.00,   31.66
27.75,83.75,1990,021,    0.00,   29.63
27.25,83.25,1990,022,    0.00,   28.75
27.25,83.75,1990,022,    0.00,   27.27
27.75,83.25,1990,022,    0.00,   29.18
27.75,83.75,1990,022,    0.00,   28.36
27.25,83.25,1990,023,    0.00,   27.15
27.25,83.75,1990,023,    0.00,   27.47
27.75,83.25,1990,023,    0.00,   27.98
27.75,83.75,1990,023,    0.00,   28.32
27.25,83.25,1990,024,    0.00,   26.85
27.25,83.75,1990,024,    0.00,   26.52
27.75,83.25,1990,024,    0.00,   27.13
27.75,83.75,1990,024,    0.00,   26.01
27.25,83.25,1990,025,    0.00,   26.72
27.25,83.75,1990,025,    0.00,   25.87
27.75,83.25,1990,025,    0.00,   25.30
27.75,83.75,1990,025,    0.00,   24.68
27.25,83.25,1990,026,    0.00,   21.59
27.25,83.75,1990,026,    0.00,   21.70
27.75,83.25,1990,026,    0.00,   23.43
27.75,83.75,1990,026,    0.00,   22.77
27.25,83.25,1990,027,    0.00,   16.97
27.25,83.75,1990,027,    0.00,   16.92
27.75,83.25,1990,027,    0.00,   20.15
27.75,83.75,1990,027,    0.00,   18.72
27.25,83.25,1990,028,    0.00,   15.88
27.25,83.75,1990,028,    0.00,   15.15
