-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1990 through 10/31/2019 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,DOY,PRECTOT,RH2M
27.25,83.75,1990,001,    0.00,   37.13
27.25,84.25,1990,001,    0.00,   35.72
27.25,84.75,1990,001,    0.00,   34.18
27.75,83.75,1990,001,    0.00,   31.43
27.75,84.25,1990,001,    0.00,   28.51
27.75,84.75,1990,001,    0.00,   28.26
27.25,83.75,1990,002,    0.00,   28.72
27.25,84.25,1990,002,    0.00,   26.32
27.25,84.75,1990,002,    0.00,   25.55
27.75,83.75,1990,002,    0.00,   25.90
27.75,84.25,1990,002,    0.00,   23.60
27.75,84.75,1990,002,    0.00,   23.62
27.25,83.75,1990,003,    0.00,   25.81
27.25,84.25,1990,003,    0.00,   23.13
27.25,84.75,1990,003,    0.00,   22.23
27.75,83.75,1990,003,    0.00,   22.45
27.75,84.25,1990,003,    0.00,   20.32
27.75,84.75,1990,003,    0.00,   20.36
27.25,83.75,1990,004,    0.00,   23.72
27.25,84.25,1990,004,    0.00,   20.91
27.25,84.75,1990,004,    0.00,   19.95
27.75,83.75,1990,004,    0.00,   19.57
27.75,84.25,1990,004,    0.00,   17.60
27.75,84.75,1990,004,    0.00,   18.20
27.25,83.75,1990,005,    0.00,   27.30
27.25,84.25,1990,005,    0.00,   24.41
27.25,84.75,1990,005,    0.00,   22.19
27.75,83.75,1990,005,    0.01,   21.65
27.75,84.25,1990,005,    0.00,   19.38
27.75,84.75,1990,005,    0.00,   19.67
27.25,83.75,1990,006,    0.00,   28.63
27.25,84.25,1990,006,    0.00,   25.91
27.25,84.75,1990,006,    0.00,   24.11
27.75,83.75,1990,006,    0.00,   23.86
27.75,84.25,1990,006,    0.00,   20.95
27.75,84.75,1990,006,    0.00,   20.92
27.25,83.75,1990,007,    0.00,   27.42
27.25,84.25,1990,007,    0.00,   23.98
27.25,84.75,1990,007,    0.00,   22.70
27.75,83.75,1990,007,    0.00,   26.31
27.75,84.25,1990,007,    0.00,   22.83
27.75,84.75,1990,007,    0.00,   23.56
27.25,83.75,1990,008,    0.00,   32.52
27.25,84.25,1990,008,    0.00,   30.19
27.25,84.75,1990,008,    0.00,   29.17
27.75,83.75,1990,008,    0.00,   28.80
27.75,84.25,1990,008,    0.00,   27.20
27.75,84.75,1990,008,    0.00,   27.94
27.25,83.75,1990,009,    0.00,   32.97
27.25,84.25,1990,009,    0.00,   30.53
27.25,84.75,1990,009,    0.00,   28.68
27.75,83.75,1990,009,    0.00,   29.16
27.75,84.25,1990,009,    0.00,   26.55
27.75,84.75,1990,009,    0.00,   26.05
27.25,83.75,1990,010,    0.00,   31.99
27.25,84.25,1990,010,    0.00,   29.31
27.25,84.75,1990,010,    0.00,   27.57
27.75,83.75,1990,010,    0.00,   30.10
27.75,84.25,1990,010,    0.00,   27.03
27.75,84.75,1990,010,    0.00,   25.90
27.25,83.75,1990,011,    0.00,   28.59
27.25,84.25,1990,011,    0.00,   26.51
27.25,84.75,1990,011,    0.00,   26.20
27.75,83.75,1990,011,    0.00,   28.47
27.75,84.25,1990,011,    0.00,   26.19
27.75,84.75,1990,011,    0.00,   26.02
27.25,83.75,1990,012,    0.00,   26.64
27.25,84.25,1990,012,    0.00,   24.70
27.25,84.75,1990,012,    0.00,   24.40
27.75,83.75,1990,012,    0.00,   27.31
27.75,84.25,1990,012,    0.00,   25.06
27.75,84.75,1990,012,    0.00,   24.79
27.25,83.75,1990,013,    0.00,   28.76
27.25,84.25,1990,013,    0.00,   26.33
27.25,84.75,1990,013,    0.00,   26.05
27.75,83.75,1990,013,    0.00,   29.33
27.75,84.25,1990,013,    0.00,   26.73
27.75,84.75,1990,013,    0.00,   26.40
27.25,83.75,1990,014,    0.00,   32.67
27.25,84.25,1990,014,    0.00,   29.54
27.25,84.75,1990,014,    0.00,   29.19
27.75,83.75,1990,014,    0.00,   31.03
27.75,84.25,1990,014,    0.00,   29.05
27.75,84.75,1990,014,    0.00,   29.91
27.25,83.75,1990,015,    0.00,   31.06
27.25,84.25,1990,015,    0.00,   29.30
27.25,84.75,1990,015,    0.00,   29.23
27.75,83.75,1990,015,    0.00,   30.08
27.75,84.25,1990,015,    0.00,   28.94
27.75,84.75,1990,015,    0.00,   29.96
27.25,83.75,1990,016,    0.00,   24.70
27.25,84.25,1990,016,    0.00,   23.70
27.25,84.75,1990,016,    0.00,   24.67
27.75,83.75,1990,016,    0.00,   24.11
27.75,84.25,1990,016,    0.00,   23.13
27.75,84.75,1990,016,    0.00,   24.45
27.25,83.75,1990,017,    0.00,   23.23
27.25,84.25,1990,017,    0.00,   20.54
27.25,84.75,1990,017,    0.00,   19.50
27.75,83.75,1990,017,    0.00,   21.42
27.75,84.25,1990,017,    0.00,   19.38
27.75,84.75,1990,017,    0.00,   19.77
27.25,83.75,1990,018,    0.00,   27.79
27.25,84.25,1990,018,    0.00,   26.63
27.25,84.75,1990,018,    0.00,   24.63
27.75,83.75,1990,018,    0.00,   23.40
27.75,84.25,1990,018,    0.00,   21.54
27.75,84.75,1990,018,    0.00,   21.06
27.25,83.75,1990,019,    0.00,   29.37
27.25,84.25,1990,019,    0.00,   27.84
27.25,84.75,1990,019,    0.00,   27.52
27.75,83.75,1990,019,    0.00,   26.56
27.75,84.25,1990,019,    0.00,   24.88
27.75,84.75,1990,019,    0.00,   24.90
27.25,83.75,1990,020,    0.00,   32.14
27.25,84.25,1990,020,    0.00,   29.15
27.25,84.75,1990,020,    0.00,   28.48
27.75,83.75,1990,020,    0.00,   31.22
27.75,84.25,1990,020,    0.00,   28.10
