-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1990 through 10/31/2019 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,DOY,PRECTOT,RH2M
28.25,80.25,1990,001,    0.00,   32.50
28.25,80.75,1990,001,    0.00,   32.12
28.25,81.25,1990,001,    0.00,   31.54
28.75,80.25,1990,001,    0.00,   29.23
28.75,80.75,1990,001,    0.00,   27.58
28.75,81.25,1990,001,    0.00,   26.42
28.25,80.25,1990,002,    0.00,   29.09
28.25,80.75,1990,002,    0.00,   29.02
28.25,81.25,1990,002,    0.00,   28.82
28.75,80.25,1990,002,    0.00,   27.52
28.75,80.75,1990,002,    0.00,   26.83
28.75,81.25,1990,002,    0.00,   25.89
28.25,80.25,1990,003,    0.00,   24.72
28.25,80.75,1990,003,    0.00,   25.30
28.25,81.25,1990,003,    0.00,   25.56
28.75,80.25,1990,003,    0.00,   22.69
28.75,80.75,1990,003,    0.00,   21.87
28.75,81.25,1990,003,    0.00,   20.72
28.25,80.25,1990,004,    0.00,   23.99
28.25,80.75,1990,004,    0.00,   24.47
28.25,81.25,1990,004,    0.00,   24.59
28.75,80.25,1990,004,    0.00,   22.15
28.75,80.75,1990,004,    0.00,   21.32
28.75,81.25,1990,004,    0.00,   20.34
28.25,80.25,1990,005,    0.00,   28.93
28.25,80.75,1990,005,    0.00,   27.91
28.25,81.25,1990,005,    0.00,   26.60
28.75,80.25,1990,005,    0.01,   24.84
28.75,80.75,1990,005,    0.04,   22.60
28.75,81.25,1990,005,    0.11,   20.78
28.25,80.25,1990,006,    0.22,   32.75
28.25,80.75,1990,006,    0.29,   31.27
28.25,81.25,1990,006,    0.33,   29.91
28.75,80.25,1990,006,    0.76,   29.60
28.75,80.75,1990,006,    0.91,   27.87
28.75,81.25,1990,006,    0.87,   27.17
28.25,80.25,1990,007,    0.05,   35.19
28.25,80.75,1990,007,    0.04,   34.92
28.25,81.25,1990,007,    0.02,   35.28
28.75,80.25,1990,007,    0.02,   37.60
28.75,80.75,1990,007,    0.01,   37.53
28.75,81.25,1990,007,    0.00,   38.61
28.25,80.25,1990,008,    0.00,   37.25
28.25,80.75,1990,008,    0.00,   36.99
28.25,81.25,1990,008,    0.00,   37.34
28.75,80.25,1990,008,    0.00,   34.74
28.75,80.75,1990,008,    0.00,   33.29
28.75,81.25,1990,008,    0.00,   33.04
28.25,80.25,1990,009,    0.00,   35.23
28.25,80.75,1990,009,    0.00,   34.74
28.25,81.25,1990,009,    0.00,   34.11
28.75,80.25,1990,009,    0.00,   29.05
28.75,80.75,1990,009,    0.00,   26.69
28.75,81.25,1990,009,    0.00,   25.01
28.25,80.25,1990,010,    0.00,   33.15
28.25,80.75,1990,010,    0.00,   33.34
28.25,81.25,1990,010,    0.00,   32.83
28.75,80.25,1990,010,    0.00,   28.73
28.75,80.75,1990,010,    0.00,   27.10
28.75,81.25,1990,010,    0.00,   25.38
28.25,80.25,1990,011,    0.00,   32.10
28.25,80.75,1990,011,    0.00,   31.35
28.25,81.25,1990,011,    0.00,   32.14
28.75,80.25,1990,011,    0.00,   29.23
28.75,80.75,1990,011,    0.00,   27.59
28.75,81.25,1990,011,    0.00,   27.04
28.25,80.25,1990,012,    0.00,   32.32
28.25,80.75,1990,012,    0.00,   30.79
28.25,81.25,1990,012,    0.00,   30.86
28.75,80.25,1990,012,    0.00,   29.07
28.75,80.75,1990,012,    0.00,   27.40
28.75,81.25,1990,012,    0.00,   26.87
28.25,80.25,1990,013,    0.00,   33.63
28.25,80.75,1990,013,    0.00,   33.30
28.25,81.25,1990,013,    0.00,   33.67
28.75,80.25,1990,013,    0.00,   31.04
28.75,80.75,1990,013,    0.00,   29.61
28.75,81.25,1990,013,    0.00,   28.55
28.25,80.25,1990,014,    0.00,   32.18
28.25,80.75,1990,014,    0.00,   32.36
28.25,81.25,1990,014,    0.00,   33.43
28.75,80.25,1990,014,    0.00,   30.67
28.75,80.75,1990,014,    0.00,   29.91
28.75,81.25,1990,014,    0.00,   29.91
28.25,80.25,1990,015,    0.00,   31.59
28.25,80.75,1990,015,    0.00,   30.84
28.25,81.25,1990,015,    0.00,   30.52
28.75,80.25,1990,015,    0.00,   26.15
28.75,80.75,1990,015,    0.00,   24.15
28.75,81.25,1990,015,    0.00,   23.50
28.25,80.25,1990,016,    0.00,   23.93
28.25,80.75,1990,016,    0.00,   24.38
28.25,81.25,1990,016,    0.00,   25.70
28.75,80.25,1990,016,    0.00,   20.25
28.75,80.75,1990,016,    0.00,   18.90
28.75,81.25,1990,016,    0.00,   18.71
28.25,80.25,1990,017,    0.00,   22.84
28.25,80.75,1990,017,    0.00,   23.25
28.25,81.25,1990,017,    0.00,   24.30
28.75,80.25,1990,017,    0.00,   21.85
28.75,80.75,1990,017,    0.00,   20.80
28.75,81.25,1990,017,    0.00,   19.81
28.25,80.25,1990,018,    0.00,   28.47
28.25,80.75,1990,018,    0.00,   28.53
28.25,81.25,1990,018,    0.00,   28.97
