date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2014-01-15,Wheat - Wholesale,MT,cereals and tubers,2.6567,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2014-02-15,Wheat - Wholesale,MT,cereals and tubers,2.61,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2014-03-15,Wheat - Wholesale,MT,cereals and tubers,2.616,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2014-04-15,Wheat - Wholesale,MT,cereals and tubers,2.57,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2014-05-15,Wheat - Wholesale,MT,cereals and tubers,2.54,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2014-06-15,Wheat - Wholesale,MT,cereals and tubers,2.516,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2014-07-15,Wheat - Wholesale,MT,cereals and tubers,2.54,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2014-08-15,Wheat - Wholesale,MT,cereals and tubers,2.5775,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2014-09-15,Wheat - Wholesale,MT,cereals and tubers,2.62,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2014-10-15,Wheat - Wholesale,MT,cereals and tubers,2.6175,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2014-11-15,Wheat - Wholesale,MT,cereals and tubers,2.594,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2014-12-15,Wheat - Wholesale,MT,cereals and tubers,2.595,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2015-01-15,Wheat - Wholesale,MT,cereals and tubers,2.6,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2015-02-15,Wheat - Wholesale,MT,cereals and tubers,2.58,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2015-03-15,Wheat - Wholesale,MT,cereals and tubers,2.582,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2015-04-15,Wheat - Wholesale,MT,cereals and tubers,2.595,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2015-05-15,Wheat - Wholesale,MT,cereals and tubers,2.552,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2015-06-15,Wheat - Wholesale,MT,cereals and tubers,2.47,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2015-07-15,Wheat - Wholesale,MT,cereals and tubers,2.45,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2015-08-15,Wheat - Wholesale,MT,cereals and tubers,2.444,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2015-09-15,Wheat - Wholesale,MT,cereals and tubers,2.42,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2015-10-15,Wheat - Wholesale,MT,cereals and tubers,2.36,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2015-11-15,Wheat - Wholesale,MT,cereals and tubers,2.328,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2015-12-15,Wheat - Wholesale,MT,cereals and tubers,2.395,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2016-01-15,Wheat - Wholesale,MT,cereals and tubers,2.36,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2016-02-15,Wheat - Wholesale,MT,cereals and tubers,2.3933,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2016-03-15,Wheat - Wholesale,MT,cereals and tubers,2.455,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2016-04-15,Wheat - Wholesale,MT,cereals and tubers,2.48,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2016-05-15,Wheat - Wholesale,MT,cereals and tubers,2.472,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2016-06-15,Wheat - Wholesale,MT,cereals and tubers,2.3525,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2016-07-15,Wheat - Wholesale,MT,cereals and tubers,2.4,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2016-08-15,Wheat - Wholesale,MT,cereals and tubers,2.404,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2016-09-15,Wheat - Wholesale,MT,cereals and tubers,2.42,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2016-10-15,Wheat - Wholesale,MT,cereals and tubers,2.5,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
